Download Time:2026/07/17 12:45:55,Search Date:2013/06/02 - 2016/01/01 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2015/07/17 02:15:00,33.2270,139.5280,27,4.5,6.7,0.3,1.7,1
2015/07/16 22:13:00,39.4380,140.9030,9,3.4,52.1,0.5,1.5,21
2015/07/16 15:13:00,33.2870,139.5750,21,4.7,6.8,0.3,1.6,2
2015/07/16 14:39:00,38.3000,142.1070,37,4.1,62.9,0.9,2.6,69
2015/07/16 10:15:00,41.3330,142.6450,38,4.8,21.7,0.7,2.5,96
2015/07/14 22:16:00,37.3100,141.8170,43,4.7,10.9,0.5,1.9,112
2015/07/14 20:59:00,37.5320,139.1270,10,3.2,59.7,1.2,2.5,10
2015/07/14 02:57:00,24.6530,124.0670,64,4.4,17.6,0.5,1.8,3
2015/07/13 20:04:00,34.9670,135.3680,7,2.7,53.9,0.5,1.7,4
2015/07/13 19:32:00,34.9670,135.3680,7,2.7,37.6,0.3,1.5,4
2015/07/13 15:52:00,31.4100,131.8770,43,4.3,9.3,0.4,1.8,28
2015/07/13 02:52:00,32.9920,131.8550,58,5.7,167.2,6.8,4.3,390
