Download Time:2026/05/18 12:14:26,Search Date:2000/01/01 - 2012/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2011/06/25 16:06:00,36.9600,140.5400,6,4.5,44.7,1.3,3.0,121
2011/06/25 15:54:00,37.0150,142.4690,15,4.7,7.1,0.3,1.7,55
2011/06/25 02:39:00,41.9620,142.7240,57,5.4,70.2,3.7,3.3,251
2011/06/23 20:38:00,30.2440,131.6100,50,4.7,4.6,0.2,1.2,14
2011/06/23 19:35:00,38.4640,141.6110,57,5.3,306.8,6.1,4.2,237
2011/06/23 17:22:00,37.0620,141.1760,50,4.5,95.4,2.4,3.2,79
2011/06/23 06:51:00,39.9440,142.5940,36,6.9,485.1,12.0,5.0,645
2011/06/22 23:29:00,40.0600,142.9170,23,5.5,28.9,1.5,2.9,210
2011/06/22 06:15:00,36.2900,141.8530,73,5.0,13.4,0.5,1.9,72
2011/06/21 17:49:00,35.7550,141.4760,21,5.5,30.7,2.9,3.2,145
2011/06/20 10:46:00,35.5200,140.9460,40,4.6,29.6,1.5,3.0,46
2011/06/20 03:13:00,36.7700,141.2950,30,4.7,14.9,0.8,2.2,56
2011/06/19 15:52:00,35.5120,141.0180,38,4.5,16.1,0.8,2.0,24
2011/06/18 20:31:00,37.6140,141.8230,28,6.0,76.2,3.8,3.7,420
2011/06/18 13:39:00,37.0570,140.6300,15,4.6,145.2,5.4,3.7,142
2011/06/17 04:00:00,35.4140,141.2880,31,4.9,8.1,0.6,2.0,44
2011/06/15 02:54:00,39.4970,142.5560,28,4.6,16.6,0.4,1.9,73
2011/06/14 23:56:00,39.4870,142.5320,28,5.3,70.9,1.9,3.6,211
2011/06/14 22:07:00,37.8090,143.5860,50,6.0,21.0,0.9,2.5,347
2011/06/14 21:49:00,43.1140,145.3640,73,5.1,253.1,8.5,4.2,105
2011/06/13 15:50:00,39.9440,143.2310,16,5.1,10.2,0.8,2.4,90
2011/06/13 05:48:00,27.9960,130.2590,35,4.6,3.3,0.3,1.5,2
2011/06/12 21:57:00,36.2320,141.7560,29,4.9,6.1,0.6,1.8,50
2011/06/12 17:09:00,36.4090,141.0830,47,4.6,46.5,1.6,3.1,127
2011/06/12 05:09:00,37.2120,141.2130,21,4.5,68.0,1.8,3.0,124
2011/06/11 07:36:00,38.3600,142.2260,36,5.0,78.0,1.4,3.1,182
2011/06/10 03:16:00,40.1490,142.3990,37,4.7,28.8,1.2,2.7,93
2011/06/09 19:38:00,36.4940,140.9730,13,5.7,122.8,4.4,4.1,265
2011/06/09 19:26:00,37.2220,142.2810,22,5.2,10.5,0.4,2.0,68
2011/06/09 07:11:00,39.0370,142.4460,34,5.0,247.5,3.6,3.7,139
2011/06/07 05:10:00,37.7690,141.6030,48,4.6,62.7,1.4,2.8,129
2011/06/04 01:57:00,35.0920,132.6730,11,5.2,451.5,10.9,4.4,251
2011/06/04 01:00:00,36.9870,141.2130,30,5.5,129.9,5.7,4.1,364
2011/06/03 10:33:00,35.9770,140.1600,62,4.5,33.0,1.3,2.7,188
2011/06/03 09:05:00,37.2990,143.8360,57,6.1,28.7,1.2,2.8,412
2011/06/02 23:37:00,37.5070,142.7210,31,4.9,5.6,0.2,1.4,42
2011/06/02 11:33:00,37.0140,138.7080,6,4.7,161.8,6.0,3.9,86
2011/06/01 17:18:00,35.5270,140.7200,28,4.5,70.8,1.3,2.7,29
2011/06/01 01:26:00,40.2450,143.3560,12,5.1,7.8,0.7,2.1,73
2011/05/31 21:28:00,39.3390,142.0660,48,5.3,169.1,3.2,3.7,148
2011/05/31 08:53:00,40.2550,143.3860,10,5.0,7.5,0.3,1.8,53
2011/05/31 04:36:00,36.5090,140.9330,15,5.0,81.8,2.7,3.3,144
2011/05/28 08:02:00,39.7920,142.1440,47,4.5,63.7,1.7,3.1,88
2011/05/27 22:33:00,39.6090,140.6350,5,4.6,211.5,8.1,4.1,100
2011/05/27 12:34:00,37.1090,140.8310,8,4.7,40.3,1.2,2.9,57
2011/05/26 19:56:00,36.7150,140.6260,6,4.8,151.5,5.7,4.2,174
2011/05/25 09:19:00,35.9200,140.1410,62,4.5,50.1,1.6,3.2,159
2011/05/25 05:36:00,37.1090,140.8330,7,5.0,52.9,4.5,3.3,73
2011/05/24 20:49:00,36.3950,141.1250,44,5.0,71.6,1.6,3.0,135
2011/05/24 19:18:00,36.7770,141.2910,36,4.6,27.1,0.7,2.5,22
2011/05/24 12:41:00,39.7800,143.4910,27,5.8,16.6,1.2,2.7,142
2011/05/23 23:40:00,38.0590,142.6520,32,4.8,12.9,0.3,1.5,15
2011/05/23 14:20:00,38.1850,142.1570,16,4.8,17.8,0.5,2.2,35
2011/05/22 23:46:00,37.5800,143.4610,45,5.6,8.7,0.3,1.6,57
2011/05/22 20:06:00,37.5790,142.0620,27,4.7,9.2,0.2,1.2,9
2011/05/22 17:33:00,39.1150,143.0140,21,4.7,4.2,0.4,1.4,13
2011/05/22 07:06:00,35.7250,140.6460,48,5.5,115.8,13.1,4.4,273
2011/05/20 17:53:00,35.9850,140.0910,64,4.6,139.2,4.5,4.2,195
2011/05/20 16:28:00,37.4490,141.4860,41,5.2,71.4,3.0,3.5,229
2011/05/20 09:46:00,35.7970,141.1780,36,5.8,62.9,7.3,3.9,257
