Download Time:2026/05/18 12:16:32,Search Date:2012/01/02 - 2024/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2023/06/24 02:39:00,45.7010,143.1870,338,5.8,8.6,0.4,1.7,120
2023/06/22 19:30:00,43.0800,141.9640,157,4.6,24.2,0.8,2.4,55
2023/06/22 10:24:00,26.4080,127.9100,39,5.2,25.7,1.8,2.7,8
2023/06/19 13:50:00,42.4870,143.0240,59,5.0,63.6,2.6,3.4,128
2023/06/19 01:58:00,31.2340,131.6220,28,4.7,20.8,1.6,2.9,46
2023/06/17 20:42:00,41.3820,142.6920,35,5.0,20.4,0.7,2.3,120
2023/06/17 20:35:00,47.1930,147.8520,457,5.8,6.7,0.4,1.9,75
2023/06/17 09:26:00,41.1300,142.8470,30,5.7,32.1,1.8,3.0,215
2023/06/16 21:24:00,35.7020,140.7150,49,4.9,37.5,2.0,3.1,141
2023/06/11 18:55:00,42.5550,141.9190,136,6.2,176.9,8.8,4.5,473
2023/06/04 10:58:00,35.8090,140.0710,70,4.6,43.8,1.9,3.0,209
2023/06/03 19:35:00,42.0020,142.5740,65,5.1,43.6,1.4,3.0,189
2023/05/30 17:49:00,37.5070,137.3930,4,4.6,115.4,4.9,3.8,30
2023/05/27 22:52:00,29.9390,129.9720,12,4.6,11.0,0.2,1.2,2
2023/05/26 19:03:00,35.6370,140.6750,50,6.2,184.8,16.1,4.6,397
2023/05/22 19:46:00,34.4620,139.2460,11,5.1,189.3,6.7,4.3,39
2023/05/22 16:42:00,34.4720,139.2200,11,5.3,178.8,8.2,4.3,87
2023/05/22 07:20:00,29.7430,129.4540,191,5.4,12.4,0.9,2.5,51
2023/05/21 18:39:00,43.5900,146.7140,39,4.7,17.8,0.4,2.1,32
2023/05/19 06:56:00,33.2350,132.2240,46,4.5,41.0,1.4,2.7,142
2023/05/15 01:22:00,33.4470,139.3200,24,5.2,6.4,0.3,1.5,9
2023/05/14 23:03:00,33.3320,139.3160,16,5.5,5.2,0.4,1.5,6
2023/05/14 19:11:00,33.4170,139.2860,19,5.9,14.6,1.2,2.3,17
2023/05/14 17:21:00,33.3450,139.2810,12,5.9,10.9,1.0,2.4,24
2023/05/14 17:12:00,33.3640,139.3150,17,5.6,7.2,0.8,2.2,19
2023/05/13 16:10:00,29.9230,130.0170,12,5.1,9.3,0.3,1.6,7
2023/05/11 22:33:00,24.2230,125.2470,33,5.9,29.8,1.6,2.7,5
2023/05/11 18:52:00,42.3700,143.0110,55,5.5,86.9,2.5,3.5,229
2023/05/11 04:16:00,35.1670,140.1880,40,5.2,268.5,23.6,4.9,262
2023/05/10 21:54:00,37.6490,137.2910,13,5.0,75.7,3.5,3.8,52
2023/05/10 07:14:00,37.5970,137.2880,12,4.9,176.5,8.2,4.2,109
2023/05/09 05:14:00,37.5170,137.3130,15,4.7,410.0,16.7,4.5,114
2023/05/06 02:47:00,41.4700,142.0890,56,5.7,44.0,1.7,3.2,261
2023/05/05 21:58:00,37.5220,137.2380,14,5.9,625.0,35.3,5.4,273
2023/05/05 21:25:00,39.3300,142.0870,48,4.5,100.8,2.1,3.4,82
2023/05/05 14:53:00,37.5220,137.2250,13,5.0,149.7,6.3,4.1,62
2023/05/05 14:42:00,37.5350,137.3060,12,6.5,729.1,103.6,6.1,439
2023/05/01 16:59:00,26.0480,128.6750,30,5.3,4.6,0.4,1.8,6
2023/05/01 12:22:00,26.0440,128.7370,18,6.4,7.5,0.9,2.3,7
2023/04/27 16:43:00,26.1190,128.6240,32,5.5,5.9,0.7,2.0,5
2023/04/17 02:25:00,37.1750,141.4010,46,4.8,81.3,2.5,3.3,137
2023/04/10 03:45:00,24.3180,122.9590,49,5.0,14.8,0.4,1.7,3
2023/04/01 18:41:00,38.2970,138.8560,28,4.9,49.2,2.0,2.9,124
2023/04/01 00:29:00,41.1520,142.8690,28,4.8,20.2,0.7,2.2,65
2023/03/28 18:18:00,41.1550,142.8520,28,6.2,140.0,6.0,4.2,342
2023/03/27 00:04:00,38.3040,141.6190,60,5.3,140.2,4.6,3.8,256
2023/03/26 23:33:00,38.3020,141.6070,59,4.5,46.5,0.7,2.2,103
2023/03/24 16:25:00,36.4150,140.3080,83,4.7,170.6,5.0,4.0,254
2023/03/22 16:37:00,40.2470,143.0760,20,5.7,15.1,0.6,2.2,128
